sample_id,person,video_path,output_csv,status,original_fps,total_video_frames,extracted_rows,detected_rows,failed_rows,detection_rate,error
sujin_sit_normal_04,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_sit_normal_04.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_sit_normal_04_pose.csv,completed,29.996394664102873,416,139,139,0,100.0,
sujin_sit_normal_05,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_sit_normal_05.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_sit_normal_05_pose.csv,completed,29.996053150901197,380,127,127,0,100.0,
sujin_sit_normal_06,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_sit_normal_06.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_sit_normal_06_pose.csv,completed,29.996124531714248,387,129,129,0,100.0,
sujin_sit_normal_07,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_sit_normal_07.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_sit_normal_07_pose.csv,completed,29.996011168727563,376,126,126,0,100.0,
sujin_sit_normal_08,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_sit_normal_08.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_sit_normal_08_pose.csv,completed,29.99602174777881,377,126,126,0,100.0,
sujin_sit_normal_09,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_sit_normal_09.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_sit_normal_09_pose.csv,completed,29.996114492941327,386,129,129,0,100.0,
sujin_sit_to_stand_normal_01,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_sit_to_stand_normal_01.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_sit_to_stand_normal_01_pose.csv,completed,29.998338042213728,5415,1805,1805,0,100.0,
sujin_sit_to_stand_normal_02,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_sit_to_stand_normal_02.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_sit_to_stand_normal_02_pose.csv,completed,29.998335275511902,5406,1802,1802,0,100.0,
sujin_sit_to_stand_normal_03,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_sit_to_stand_normal_03.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_sit_to_stand_normal_03_pose.csv,completed,29.996134518747585,388,130,130,0,100.0,
sujin_sit_to_stand_normal_04,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_sit_to_stand_normal_04.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_sit_to_stand_normal_04_pose.csv,completed,29.99602174777881,377,126,126,0,100.0,
sujin_sit_to_stand_normal_05,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_sit_to_stand_normal_05.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_sit_to_stand_normal_05_pose.csv,completed,29.996053150901197,380,127,127,0,100.0,
sujin_sit_to_stand_normal_06,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_sit_to_stand_normal_06.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_sit_to_stand_normal_06_pose.csv,completed,29.996053150901197,380,127,127,0,100.0,
sujin_slow_lie_down_01,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_slow_lie_down_01.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_slow_lie_down_01_pose.csv,completed,29.998335275511902,5406,1802,1783,19,98.94561598224195,
sujin_stand_normal_01,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_stand_normal_01.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_stand_normal_01_pose.csv,completed,29.998341258431935,3617,1206,1206,0,100.0,
sujin_stand_normal_02,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_stand_normal_02.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_stand_normal_02_pose.csv,completed,29.998340799734528,1808,603,603,0,100.0,
sujin_stand_normal_03,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_stand_normal_03.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_stand_normal_03_pose.csv,completed,29.996164173379363,391,131,131,0,100.0,
sujin_stand_normal_04,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_stand_normal_04.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_stand_normal_04_pose.csv,completed,29.99602174777881,377,126,126,0,100.0,
sujin_stand_normal_05,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_stand_normal_05.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_stand_normal_05_pose.csv,completed,29.996173957403393,392,131,131,0,100.0,
sujin_stand_normal_06,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_stand_normal_06.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_stand_normal_06_pose.csv,completed,29.996114492941327,386,129,129,0,100.0,
sujin_stand_normal_07,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_stand_normal_07.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_stand_normal_07_pose.csv,completed,29.996164173379363,391,131,131,0,100.0,
sujin_stand_normal_08,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_stand_normal_08.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_stand_normal_08_pose.csv,completed,29.99608406213288,383,128,128,0,100.0,
sujin_stand_normal_09,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_stand_normal_09.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_stand_normal_09_pose.csv,completed,29.996053150901197,380,127,127,0,100.0,
sujin_stand_normal_10,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_stand_normal_10.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_stand_normal_10_pose.csv,completed,29.99608406213288,383,128,128,0,100.0,
sujin_stand_normal_11,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_stand_normal_11.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_stand_normal_11_pose.csv,completed,29.996134518747585,388,130,130,0,100.0,
sujin_stand_normal_12,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_stand_normal_12.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_stand_normal_12_pose.csv,completed,29.9961444544403,389,130,130,0,100.0,
sujin_walk_normal_01,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_walk_normal_01.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_walk_normal_01_pose.csv,completed,29.998339422118896,3613,1205,1205,0,100.0,
sujin_walk_normal_02,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_walk_normal_02.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_walk_normal_02_pose.csv,completed,29.995979091274627,373,125,125,0,100.0,
sujin_walk_normal_03,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_walk_normal_03.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_walk_normal_03_pose.csv,completed,29.996094258560085,384,128,128,0,100.0,
sujin_walk_normal_04,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_walk_normal_04.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_walk_normal_04_pose.csv,completed,29.996124531714248,387,129,129,0,100.0,
sujin_walk_normal_05,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_walk_normal_05.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_walk_normal_05_pose.csv,completed,29.99607381232823,382,128,128,0,100.0,
sujin_walk_normal_06,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_walk_normal_06.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_walk_normal_06_pose.csv,completed,29.99606350872589,381,127,127,0,100.0,
sujin_walk_normal_07,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_walk_normal_07.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_walk_normal_07_pose.csv,completed,29.99602174777881,377,126,126,0,100.0,
sujin_walk_normal_08,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_walk_normal_08.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_walk_normal_08_pose.csv,completed,30.0,366,122,122,0,100.0,
sujin_walk_normal_09,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_walk_normal_09.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_walk_normal_09_pose.csv,completed,29.99606350872589,381,127,127,0,100.0,
sujin_walk_normal_10,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_walk_normal_10.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_walk_normal_10_pose.csv,completed,29.996124531714248,387,129,129,0,100.0,
sujin_walk_normal_11,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_walk_normal_11.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_walk_normal_11_pose.csv,completed,29.99606350872589,381,127,127,0,100.0,
sujin_walk_normal_12,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_walk_normal_12.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_walk_normal_12_pose.csv,completed,29.99610440202571,385,129,129,0,100.0,
sujin_walk_normal_13,sujin,/content/carewave-round4-source/carewave_dataset/raw/videos/sujin/sujin_walk_normal_13.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_walk_normal_13_pose.csv,completed,29.996134518747585,388,130,130,0,100.0,
csi_test_01,test,/content/carewave-round4-source/carewave_dataset/raw/videos/test/csi_test_01.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/csi_test_01_pose.csv,completed,29.99834309068817,3621,1207,1207,0,100.0,
hoyeon_test_04,test,/content/carewave-round4-source/carewave_dataset/raw/videos/test/hoyeon_test_04.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/hoyeon_test_04_pose.csv,completed,29.998330643815034,3594,1198,1198,0,100.0,
sujin_test_03,test,/content/carewave-round4-source/carewave_dataset/raw/videos/test/sujin_test_03.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/sujin_test_03_pose.csv,completed,29.99833296288064,3599,1200,1200,0,100.0,
yena_test_02,test,/content/carewave-round4-source/carewave_dataset/raw/videos/test/yena_test_02.mp4,/content/drive/MyDrive/CareWave_Round4_Reextract/pose/yena_test_02_pose.csv,completed,29.99832878391176,3590,1197,1197,0,100.0,
